time,h_asl,pitch,vc,roll,deadline_met
210.0158,11037.2337,10.36,249.9999,-0.0069845,0
210.0242,11037.7508,10.36,249.9982,0.025858,0
210.0243,11037.7508,10.36,249.9982,0.025858,0
210.0243,11037.7508,10.36,249.9982,0.025858,0
210.0325,11038.268,10.3599,249.9973,0.057063,0
210.0408,11038.7852,10.3599,249.9967,0.083277,0
210.0437,11038.7852,10.3599,249.9967,0.083277,0
210.0437,11038.7852,10.3599,249.9967,0.083277,0
210.0492,11039.3023,10.3598,249.9964,0.10456,0
210.0546,11039.3023,10.3598,249.9964,0.10456,0
210.0564,11039.3023,10.3598,249.9964,0.10456,0
210.0564,11039.3023,10.3598,249.9964,0.10456,0
210.0575,11039.8195,10.3597,249.9964,0.12099,0
210.0585,11039.8195,10.3597,249.9964,0.12099,0
210.0606,11039.8195,10.3597,249.9964,0.12099,0
210.0648,11039.8195,10.3597,249.9964,0.12099,0
210.0658,11040.3366,10.3597,249.9966,0.13261,0
210.0709,11040.3366,10.3597,249.9966,0.13261,0
210.0742,11040.8538,10.3596,249.9972,0.13949,0
210.0825,11041.3709,10.3596,249.998,0.14169,0
210.0908,11041.8881,10.3595,249.999,0.13927,0
210.0992,11042.4053,10.3595,250.0004,0.13229,0
210.1075,11042.9224,10.3594,250.0004,0.12081,0
210.1158,11043.4396,10.3594,249.9995,0.10489,0
210.1191,11043.4396,10.3594,249.9995,0.10489,0
210.1191,11043.4396,10.3594,249.9995,0.10489,0
210.1201,11043.4396,10.3594,249.9995,0.10489,0
210.1201,11043.4396,10.3594,249.9995,0.10489,0
210.121,11043.4396,10.3594,249.9995,0.10489,0
210.122,11043.4396,10.3594,249.9995,0.10489,0
210.1239,11043.4396,10.3594,249.9995,0.10489,0
210.1242,11043.9568,10.3593,249.9979,0.084588,0
210.1253,11043.9568,10.3593,249.9979,0.084588,0
210.1306,11043.9568,10.3593,249.9979,0.084588,0
210.1325,11044.4739,10.3593,249.997,0.059953,0
210.1408,11044.9911,10.3592,249.9965,0.031042,0
210.145,11044.9911,10.3592,249.9965,0.031042,0
210.145,11044.9911,10.3592,249.9965,0.031042,0
210.1492,11045.5082,10.3592,249.9962,-0.0015627,0
210.1533,11045.5082,10.3592,249.9962,-0.0015627,0
210.1575,11046.0254,10.3591,249.9961,-0.034316,0
210.1658,11046.5426,10.3591,249.9964,-0.06367,0
210.1667,11046.5426,10.3591,249.9964,-0.06367,0
210.1667,11046.5426,10.3591,249.9964,-0.06367,0
210.1742,11047.0597,10.359,249.9969,-0.088057,0
210.1791,11047.0597,10.359,249.9969,-0.088057,0
210.1791,11047.0597,10.359,249.9969,-0.088057,0
210.1825,11047.5769,10.359,249.9977,-0.10754,0
210.1859,11047.5769,10.359,249.9977,-0.10754,0
210.1908,11048.094,10.3589,249.9988,-0.12218,0
210.1992,11048.6112,10.3589,250.0002,-0.13204,0
210.2075,11049.1284,10.3588,250.0002,-0.13719,0
210.2158,11049.6455,10.3588,249.9993,-0.13768,0
210.2242,11050.1627,10.3587,249.9976,-0.13357,0
210.2242,11050.1627,10.3587,249.9976,-0.13357,0
210.2242,11050.1627,10.3587,249.9976,-0.13357,0
210.2325,11050.6799,10.3587,249.9968,-0.12493,0
210.2408,11051.197,10.3586,249.9962,-0.11181,0
210.2492,11051.7142,10.3586,249.9959,-0.094263,0
210.2575,11052.2313,10.3585,249.9959,-0.072355,0
210.2598,11052.2313,10.3585,249.9959,-0.072355,0
210.2598,11052.2313,10.3585,249.9959,-0.072355,0
