time,h_asl,pitch,vc,roll,deadline_met
213.9075,-16870.5998,-32.5204,535.9618,20.9822,0
213.913,-16870.5998,-32.5204,535.9618,20.9822,0
213.9158,-16873.7382,-32.528,536.017,20.929,0
213.9241,-16876.8772,-32.5415,536.0723,20.8431,0
213.9325,-16880.017,-32.5606,536.1278,20.726,0
213.9408,-16883.1575,-32.5839,536.1836,20.6157,0
213.9432,-16883.1575,-32.5839,536.1836,20.6157,0
213.9432,-16883.1575,-32.5839,536.1836,20.6157,0
213.9491,-16886.2987,-32.6082,536.2398,20.5279,0
213.9537,-16886.2987,-32.6082,536.2398,20.5279,0
213.9537,-16886.2987,-32.6082,536.2398,20.5279,0
213.9575,-16889.4407,-32.6303,536.2963,20.4691,0
213.9612,-16889.4407,-32.6303,536.2963,20.4691,0
213.9624,-16889.4407,-32.6303,536.2963,20.4691,0
213.9624,-16889.4407,-32.6303,536.2963,20.4691,0
213.9658,-16892.5834,-32.6469,536.3526,20.4454,0
213.9659,-16892.5834,-32.6469,536.3526,20.4454,0
213.9659,-16892.5834,-32.6469,536.3526,20.4454,0
213.9682,-16892.5834,-32.6469,536.3526,20.4454,0
213.9682,-16892.5834,-32.6469,536.3526,20.4454,0
213.9689,-16892.5834,-32.6469,536.3526,20.4454,0
213.9689,-16892.5834,-32.6469,536.3526,20.4454,0
213.9696,-16892.5834,-32.6469,536.3526,20.4454,0
213.9703,-16892.5834,-32.6469,536.3526,20.4454,0
213.9717,-16892.5834,-32.6469,536.3526,20.4454,0
213.9741,-16895.7269,-32.6577,536.4086,20.457,0
213.9783,-16895.7269,-32.6577,536.4086,20.457,0
213.9783,-16895.7269,-32.6577,536.4086,20.457,0
213.9785,-16895.7269,-32.6577,536.4086,20.457,0
213.9785,-16895.7269,-32.6577,536.4086,20.457,0
213.9787,-16895.7269,-32.6577,536.4086,20.457,0
213.9787,-16895.7269,-32.6577,536.4086,20.457,0
213.9788,-16895.7269,-32.6577,536.4086,20.457,0
213.979,-16895.7269,-32.6577,536.4086,20.457,0
213.9792,-16895.7269,-32.6577,536.4086,20.457,0
213.9792,-16895.7269,-32.6577,536.4086,20.457,0
213.9795,-16895.7269,-32.6577,536.4086,20.457,0
213.9798,-16895.7269,-32.6577,536.4086,20.457,0
213.9804,-16895.7269,-32.6577,536.4086,20.457,0
213.9816,-16895.7269,-32.6577,536.4086,20.457,0
213.9825,-16898.8711,-32.6626,536.4646,20.4998,0
213.9858,-16898.8711,-32.6626,536.4646,20.4998,0
213.9908,-16902.016,-32.6618,536.5206,20.5363,0
213.9991,-16905.1617,-32.6554,536.5768,20.5631,0
