time,h_asl,pitch,vc,roll
0.61666,11.9792,0.22033,0.015389,1.1695e-09
0.625,11.979,0.22045,0.015116,1.1705e-09
0.63333,11.9788,0.22056,0.014849,1.1469e-09
0.64166,11.9786,0.22067,0.014588,1.1439e-09
0.65,11.9784,0.22079,0.014331,1.0807e-09
0.65833,11.9782,0.22089,0.01408,1.0277e-09
0.66666,11.978,0.221,0.013833,9.7645e-10
0.675,11.9778,0.22111,0.013591,9.3547e-10
0.68333,11.9776,0.22121,0.013354,8.8771e-10
0.69166,11.9774,0.22131,0.013121,8.5132e-10
0.7,11.9772,0.22141,0.012892,7.7235e-10
0.70833,11.977,0.2215,0.012667,6.9307e-10
0.71666,11.9769,0.2216,0.012446,6.3189e-10
0.725,11.9767,0.22169,0.012229,5.7014e-10
0.73333,11.9765,0.22178,0.012016,5.1625e-10
0.74166,11.9764,0.22187,0.011807,4.6352e-10
0.75,11.9762,0.22196,0.011602,3.9556e-10
0.75833,11.976,0.22205,0.0114,3.2719e-10
0.76666,11.9759,0.22213,0.011201,2.7123e-10
0.775,11.9757,0.22221,0.011006,2.1581e-10
0.78333,11.9756,0.2223,0.010815,1.6639e-10
0.79166,11.9754,0.22238,0.010627,1.1855e-10
0.8,11.9753,0.22245,0.010442,7.4317e-11
0.80833,11.9751,0.22253,0.01026,3.1899e-11
0.81666,11.975,0.22261,0.010082,-8.0531e-12
0.825,11.9748,0.22268,0.0099062,-4.6314e-11
0.83333,11.9747,0.22275,0.0097339,-8.2742e-11
0.84166,11.9746,0.22282,0.0095646,-1.1773e-10
0.85,11.9744,0.22289,0.0093982,-1.5127e-10
0.85833,11.9743,0.22296,0.0092347,-1.8359e-10
0.86666,11.9742,0.22303,0.0090741,-2.1474e-10
0.875,11.9741,0.2231,0.0089163,-2.4489e-10
0.88333,11.9739,0.22316,0.0087612,-2.7406e-10
0.89166,11.9738,0.22323,0.0086088,-3.0238e-10
0.9,11.9737,0.22329,0.0084591,-3.2989e-10
0.90833,11.9736,0.22335,0.0083119,-3.5666e-10
0.91666,11.9735,0.22341,0.0081674,-3.8274e-10
0.925,11.9733,0.22347,0.0080253,-4.0818e-10
0.93333,11.9732,0.22353,0.0078857,-4.3303e-10
0.94166,11.9731,0.22358,0.0077486,-4.5732e-10
0.95,11.973,0.22364,0.0076138,-4.8109e-10
0.95833,11.9729,0.22369,0.0074813,-5.0436e-10
0.96666,11.9728,0.22375,0.0073512,-5.2718e-10
0.975,11.9727,0.2238,0.0072234,-5.4954e-10
0.98333,11.9726,0.22385,0.0070977,-5.7147e-10
0.99166,11.9725,0.2239,0.0069743,-5.93e-10
1,11.9724,0.22395,0.0068529,-6.1415e-10
1.0083,11.9723,0.224,0.0067337,-6.3494e-10
1.0167,11.9722,0.22405,0.0066166,-6.5535e-10
1.025,11.9721,0.22409,0.0065016,-6.7542e-10
1.0333,11.972,0.22414,0.0063885,-6.9516e-10
1.0417,11.9719,0.22418,0.0062774,-7.1458e-10
1.05,11.9719,0.22423,0.0061682,-7.3371e-10
1.0583,11.9718,0.22427,0.0060609,-7.5254e-10
1.0667,11.9717,0.22432,0.0059555,-7.7105e-10
1.075,11.9716,0.22436,0.0058519,-7.893e-10
1.0833,11.9715,0.2244,0.0057501,-8.0725e-10
1.0917,11.9714,0.22444,0.0056501,-8.2496e-10
1.1,11.9714,0.22448,0.0055519,-8.4239e-10
1.1083,11.9713,0.22452,0.0054553,-8.5957e-10
1.1167,11.9712,0.22455,0.0053604,-8.7649e-10
1.125,11.9711,0.22459,0.0052672,-8.9318e-10
1.1333,11.9711,0.22463,0.0051755,-9.0962e-10
1.1417,11.971,0.22466,0.0050855,-9.2584e-10
1.15,11.9709,0.2247,0.0049971,-9.4178e-10
1.1583,11.9709,0.22473,0.0049102,-9.5756e-10
1.1667,11.9708,0.22477,0.0048247,-9.7306e-10
1.175,11.9707,0.2248,0.0047408,-9.8842e-10
1.1833,11.9707,0.22483,0.0046584,-9.8385e-10
1.1917,11.9706,0.22487,0.0045774,-9.7696e-10
1.2,11.9705,0.2249,0.0044978,-9.4013e-10
1.2083,11.9705,0.22493,0.0044195,-8.9755e-10
1.2167,11.9704,0.22496,0.0043426,-8.7779e-10
1.225,11.9703,0.22499,0.0042671,-8.5541e-10
