time,h_asl,pitch,vc,roll,deadline_met
173.1662,-11242.4086,-30.4219,653.0571,-14.6626,0
173.1667,-11242.4086,-30.4219,653.0571,-14.6626,0
173.1677,-11242.4086,-30.4219,653.0571,-14.6626,0
173.1697,-11242.4086,-30.4219,653.0571,-14.6626,0
173.1736,-11242.4086,-30.4219,653.0571,-14.6626,0
173.1743,-11246.463,-30.3763,653.0886,-14.7413,0
173.1778,-11246.463,-30.3763,653.0886,-14.7413,0
173.1826,-11250.5125,-30.3244,653.1204,-14.8643,0
173.191,-11254.5572,-30.2667,653.1525,-15.0014,0
173.1968,-11254.5572,-30.2667,653.1525,-15.0014,0
173.1968,-11254.5572,-30.2667,653.1525,-15.0014,0
173.1993,-11258.597,-30.2049,653.1853,-15.1161,0
173.2019,-11258.597,-30.2049,653.1853,-15.1161,0
173.207,-11258.597,-30.2049,653.1853,-15.1161,0
173.2076,-11262.6319,-30.1447,653.2173,-15.1927,0
173.211,-11262.6319,-30.1447,653.2173,-15.1927,0
173.2134,-11262.6319,-30.1447,653.2173,-15.1927,0
173.2134,-11262.6319,-30.1447,653.2173,-15.1927,0
173.216,-11266.6619,-30.0911,653.248,-15.2184,0
173.2185,-11266.6619,-30.0911,653.248,-15.2184,0
173.2236,-11266.6619,-30.0911,653.248,-15.2184,0
173.2243,-11270.687,-30.0441,653.2783,-15.1951,0
173.2278,-11270.687,-30.0441,653.2783,-15.1951,0
173.2294,-11270.687,-30.0441,653.2783,-15.1951,0
173.2294,-11270.687,-30.0441,653.2783,-15.1951,0
173.2326,-11274.7072,-30.0036,653.3083,-15.1248,0
173.2359,-11274.7072,-30.0036,653.3083,-15.1248,0
173.241,-11278.7224,-29.9695,653.3382,-15.0094,0
173.2493,-11282.7327,-29.9416,653.3683,-14.8535,0
173.2576,-11286.7381,-29.9192,653.3988,-14.7155,0
173.2631,-11286.7381,-29.9192,653.3988,-14.7155,0
173.2631,-11286.7381,-29.9192,653.3988,-14.7155,0
173.266,-11290.7386,-29.9007,653.43,-14.5991,0
173.2688,-11290.7386,-29.9007,653.43,-14.5991,0
173.2743,-11294.7341,-29.8807,653.4617,-14.5196,0
173.2826,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2846,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2846,-11298.7248,-29.8542,653.4917,-14.4903,0
173.285,-11298.7248,-29.8542,653.4917,-14.4903,0
173.285,-11298.7248,-29.8542,653.4917,-14.4903,0
173.285,-11298.7248,-29.8542,653.4917,-14.4903,0
173.285,-11298.7248,-29.8542,653.4917,-14.4903,0
173.285,-11298.7248,-29.8542,653.4917,-14.4903,0
173.285,-11298.7248,-29.8542,653.4917,-14.4903,0
173.285,-11298.7248,-29.8542,653.4917,-14.4903,0
173.285,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2851,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2851,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2851,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2852,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2852,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2852,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2853,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2854,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2854,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2855,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2856,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2858,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2862,-11298.7248,-29.8542,653.4917,-14.4903,0
173.287,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2871,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2871,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2887,-11298.7248,-29.8542,653.4917,-14.4903,0
173.2903,-11298.7248,-29.8542,653.4917,-14.4903,0
173.291,-11302.7106,-29.8213,653.5213,-14.5093,0
173.2943,-11302.7106,-29.8213,653.5213,-14.5093,0
173.2958,-11302.7106,-29.8213,653.5213,-14.5093,0
173.2958,-11302.7106,-29.8213,653.5213,-14.5093,0
173.299,-11302.7106,-29.8213,653.5213,-14.5093,0
173.299,-11302.7106,-29.8213,653.5213,-14.5093,0
173.2993,-11306.6914,-29.7822,653.5505,-14.5747,0
173.2996,-11306.6914,-29.7822,653.5505,-14.5747,0
173.3002,-11306.6914,-29.7822,653.5505,-14.5747,0
173.3014,-11306.6914,-29.7822,653.5505,-14.5747,0
173.3037,-11306.6914,-29.7822,653.5505,-14.5747,0
173.3076,-11310.6674,-29.7369,653.5797,-14.6374,0
173.316,-11314.6385,-29.6854,653.6091,-14.7449,0
173.3243,-11318.6046,-29.6281,653.6389,-14.8361,0
173.33,-11318.6046,-29.6281,653.6389,-14.8361,0
173.33,-11318.6046,-29.6281,653.6389,-14.8361,0
173.3326,-11322.5659,-29.5668,653.6694,-14.9068,0
173.3352,-11322.5659,-29.5668,653.6694,-14.9068,0
173.3404,-11322.5659,-29.5668,653.6694,-14.9068,0
173.341,-11326.5222,-29.507,653.699,-14.9416,0
173.3437,-11326.5222,-29.507,653.699,-14.9416,0
173.3468,-11326.5222,-29.507,653.699,-14.9416,0
173.3468,-11326.5222,-29.507,653.699,-14.9416,0
173.3493,-11330.4736,-29.4537,653.7274,-14.9278,0
173.3518,-11330.4736,-29.4537,653.7274,-14.9278,0
173.3568,-11330.4736,-29.4537,653.7274,-14.9278,0
173.3576,-11334.4201,-29.4068,653.7554,-14.867,0
173.3618,-11334.4201,-29.4068,653.7554,-14.867,0
173.3627,-11334.4201,-29.4068,653.7554,-14.867,0
173.3627,-11334.4201,-29.4068,653.7554,-14.867,0
173.366,-11338.3615,-29.3662,653.783,-14.7992,0
173.3692,-11338.3615,-29.3662,653.783,-14.7992,0
173.3743,-11342.298,-29.3319,653.8105,-14.6864,0
173.3826,-11346.2295,-29.3035,653.8383,-14.5858,0
173.391,-11350.156,-29.2806,653.8665,-14.5008,0
173.3964,-11350.156,-29.2806,653.8665,-14.5008,0
173.3964,-11350.156,-29.2806,653.8665,-14.5008,0
173.3993,-11354.0776,-29.2617,653.8953,-14.4353,0
173.4022,-11354.0776,-29.2617,653.8953,-14.4353,0
173.4076,-11357.9942,-29.2411,653.9247,-14.4043,0
173.416,-11361.9059,-29.2142,653.9524,-14.421,0
173.4179,-11361.9059,-29.2142,653.9524,-14.421,0
173.4179,-11361.9059,-29.2142,653.9524,-14.421,0
173.4183,-11361.9059,-29.2142,653.9524,-14.421,0
173.4183,-11361.9059,-29.2142,653.9524,-14.421,0
173.4187,-11361.9059,-29.2142,653.9524,-14.421,0
173.4187,-11361.9059,-29.2142,653.9524,-14.421,0
173.4191,-11361.9059,-29.2142,653.9524,-14.421,0
173.4195,-11361.9059,-29.2142,653.9524,-14.421,0
173.4203,-11361.9059,-29.2142,653.9524,-14.421,0
173.4205,-11361.9059,-29.2142,653.9524,-14.421,0
173.4205,-11361.9059,-29.2142,653.9524,-14.421,0
173.4221,-11361.9059,-29.2142,653.9524,-14.421,0
173.4237,-11361.9059,-29.2142,653.9524,-14.421,0
173.4243,-11365.8126,-29.1809,653.9796,-14.4835,0
173.4276,-11365.8126,-29.1809,653.9796,-14.4835,0
173.4291,-11365.8126,-29.1809,653.9796,-14.4835,0
173.4291,-11365.8126,-29.1809,653.9796,-14.4835,0
173.4322,-11365.8126,-29.1809,653.9796,-14.4835,0
173.4322,-11365.8126,-29.1809,653.9796,-14.4835,0
173.4326,-11369.7144,-29.1415,654.0065,-14.5454,0
173.4331,-11369.7144,-29.1415,654.0065,-14.5454,0
173.4341,-11369.7144,-29.1415,654.0065,-14.5454,0
173.4361,-11369.7144,-29.1415,654.0065,-14.5454,0
173.44,-11369.7144,-29.1415,654.0065,-14.5454,0
173.441,-11373.6113,-29.0959,654.0334,-14.5931,0
173.4461,-11373.6113,-29.0959,654.0334,-14.5931,0
173.4493,-11377.5032,-29.0443,654.0605,-14.6277,0
173.4576,-11381.3902,-28.987,654.088,-14.6493,0
173.4634,-11381.3902,-28.987,654.088,-14.6493,0
173.4634,-11381.3902,-28.987,654.088,-14.6493,0
173.466,-11385.2722,-28.9256,654.1161,-14.6731,0
173.4686,-11385.2722,-28.9256,654.1161,-14.6731,0
173.4738,-11385.2722,-28.9256,654.1161,-14.6731,0
173.4743,-11389.1493,-28.8657,654.1434,-14.7016,0
173.4769,-11389.1493,-28.8657,654.1434,-14.7016,0
173.4798,-11389.1493,-28.8657,654.1434,-14.7016,0
173.4798,-11389.1493,-28.8657,654.1434,-14.7016,0
173.4826,-11393.0213,-28.812,654.1695,-14.7385,0
173.4855,-11393.0213,-28.812,654.1695,-14.7385,0
173.491,-11396.8884,-28.7646,654.1951,-14.7798,0
173.4961,-11396.8884,-28.7646,654.1951,-14.7798,0
173.4961,-11396.8884,-28.7646,654.1951,-14.7798,0
173.4993,-11400.7504,-28.7235,654.2203,-14.8184,0
173.5025,-11400.7504,-28.7235,654.2203,-14.8184,0
173.5076,-11404.6074,-28.6887,654.2456,-14.8072,0
173.516,-11408.4593,-28.6601,654.271,-14.7484,0
173.5243,-11412.3063,-28.6372,654.2968,-14.6452,0
173.5298,-11412.3063,-28.6372,654.2968,-14.6452,0
173.5298,-11412.3063,-28.6372,654.2968,-14.6452,0
173.5326,-11416.1483,-28.6184,654.3233,-14.5039,0
173.5355,-11416.1483,-28.6184,654.3233,-14.5039,0
173.541,-11419.9852,-28.598,654.3504,-14.3946,0
173.5493,-11423.8172,-28.5713,654.3758,-14.3365,0
173.551,-11423.8172,-28.5713,654.3758,-14.3365,0
173.551,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5514,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5514,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5515,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5515,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5516,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5516,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5517,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5517,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5518,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5518,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5519,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5519,-11423.8172,-28.5713,654.3758,-14.3365,0
173.552,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5523,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5527,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5535,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5535,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5545,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5554,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5573,-11423.8172,-28.5713,654.3758,-14.3365,0
173.5576,-11427.6442,-28.5382,654.4006,-14.3276,0
173.5593,-11427.6442,-28.5382,654.4006,-14.3276,0
173.5627,-11427.6442,-28.5382,654.4006,-14.3276,0
173.5627,-11427.6442,-28.5382,654.4006,-14.3276,0
173.5654,-11427.6442,-28.5382,654.4006,-14.3276,0
173.5654,-11427.6442,-28.5382,654.4006,-14.3276,0
173.566,-11431.4662,-28.499,654.4252,-14.366,0
173.5666,-11431.4662,-28.499,654.4252,-14.366,0
173.5678,-11431.4662,-28.499,654.4252,-14.366,0
173.5702,-11431.4662,-28.499,654.4252,-14.366,0
173.5743,-11435.2832,-28.4535,654.4497,-14.4428,0
173.5826,-11439.0953,-28.4019,654.4744,-14.5632,0
173.591,-11442.9023,-28.3445,654.4995,-14.6993,0
173.5967,-11442.9023,-28.3445,654.4995,-14.6993,0
173.5967,-11442.9023,-28.3445,654.4995,-14.6993,0
173.5993,-11446.7043,-28.2829,654.5253,-14.8125,0
173.602,-11446.7043,-28.2829,654.5253,-14.8125,0
173.6076,-11450.5013,-28.2228,654.5503,-14.8882,0
173.6132,-11450.5013,-28.2228,654.5503,-14.8882,0
173.6132,-11450.5013,-28.2228,654.5503,-14.8882,0
173.616,-11454.2933,-28.1691,654.5741,-14.9137,0
173.6188,-11454.2933,-28.1691,654.5741,-14.9137,0
173.6243,-11458.0803,-28.122,654.5973,-14.8909,0
173.6296,-11458.0803,-28.122,654.5973,-14.8909,0
173.6296,-11458.0803,-28.122,654.5973,-14.8909,0
173.6326,-11461.8621,-28.0812,654.6203,-14.8219,0
173.6357,-11461.8621,-28.0812,654.6203,-14.8219,0
173.641,-11465.639,-28.0468,654.6431,-14.7085,0
173.6493,-11469.4107,-28.0184,654.6662,-14.5548,0
