time,h_asl,pitch,vc,roll,deadline_met
170.416,4588.1006,10.5835,291.7229,0.11651,0
170.4243,4588.6394,10.5963,291.6848,0.095892,0
170.4327,4589.179,10.609,291.6467,0.069366,0
170.4374,4589.179,10.609,291.6467,0.069366,0
170.4374,4589.179,10.609,291.6467,0.069366,0
170.441,4589.7195,10.6217,291.6085,0.037024,0
170.4446,4589.7195,10.6217,291.6085,0.037024,0
170.4484,4589.7195,10.6217,291.6085,0.037024,0
170.4484,4589.7195,10.6217,291.6085,0.037024,0
170.4493,4590.2608,10.6345,291.5703,-0.0010367,0
170.4502,4590.2608,10.6345,291.5703,-0.0010367,0
170.4521,4590.2608,10.6345,291.5703,-0.0010367,0
170.4557,4590.2608,10.6345,291.5703,-0.0010367,0
170.4577,4590.8031,10.6472,291.5321,-0.043035,0
170.4632,4590.8031,10.6472,291.5321,-0.043035,0
170.4632,4590.8031,10.6472,291.5321,-0.043035,0
170.466,4591.3462,10.6599,291.4938,-0.078973,0
170.4688,4591.3462,10.6599,291.4938,-0.078973,0
170.4743,4591.8902,10.6727,291.4555,-0.10806,0
170.4827,4592.4351,10.6854,291.4172,-0.13042,0
170.491,4592.9809,10.6981,291.3788,-0.14615,0
170.4993,4593.5275,10.7108,291.3404,-0.15538,0
170.5077,4594.075,10.7235,291.302,-0.15821,0
170.516,4594.6234,10.7361,291.2635,-0.15476,0
170.5243,4595.1727,10.7488,291.2251,-0.14513,0
170.5327,4595.7228,10.7615,291.1866,-0.12942,0
170.541,4596.2738,10.7741,291.148,-0.10774,0
170.5419,4596.2738,10.7741,291.148,-0.10774,0
170.5419,4596.2738,10.7741,291.148,-0.10774,0
170.5493,4596.8257,10.7868,291.1095,-0.080182,0
170.5499,4596.8257,10.7868,291.1095,-0.080182,0
170.5499,4596.8257,10.7868,291.1095,-0.080182,0
170.5558,4596.8257,10.7868,291.1095,-0.080182,0
170.5558,4596.8257,10.7868,291.1095,-0.080182,0
170.5577,4597.3784,10.7994,291.0709,-0.046845,0
170.5595,4597.3784,10.7994,291.0709,-0.046845,0
170.5633,4597.3784,10.7994,291.0709,-0.046845,0
170.566,4597.932,10.8121,291.0323,-0.008087,0
170.5667,4597.932,10.8121,291.0323,-0.008087,0
170.5667,4597.932,10.8121,291.0323,-0.008087,0
170.5743,4598.4865,10.8247,290.9936,0.033306,0
170.5808,4598.4865,10.8247,290.9936,0.033306,0
170.5808,4598.4865,10.8247,290.9936,0.033306,0
170.5827,4599.0419,10.8374,290.9549,0.067783,0
170.5845,4599.0419,10.8374,290.9549,0.067783,0
170.5883,4599.0419,10.8374,290.9549,0.067783,0
170.591,4599.5981,10.85,290.9161,0.09546,0
170.5993,4600.1551,10.8626,290.8774,0.11645,0
170.6077,4600.7131,10.8752,290.8386,0.13087,0
170.616,4601.2719,10.8878,290.7997,0.13882,0
170.6243,4601.8315,10.9004,290.7609,0.14043,0
170.6327,4602.3921,10.913,290.722,0.13579,0
170.641,4602.9535,10.9256,290.6831,0.12501,0
170.6493,4603.5157,10.9382,290.6442,0.10819,0
170.6577,4604.0788,10.9507,290.6052,0.085442,0
170.6603,4604.0788,10.9507,290.6052,0.085442,0
170.6603,4604.0788,10.9507,290.6052,0.085442,0
170.666,4604.6428,10.9633,290.5662,0.056852,0
170.6679,4604.6428,10.9633,290.5662,0.056852,0
170.6679,4604.6428,10.9633,290.5662,0.056852,0
170.6736,4604.6428,10.9633,290.5662,0.056852,0
170.6743,4605.2076,10.9759,290.5272,0.022517,0
170.6779,4605.2076,10.9759,290.5272,0.022517,0
170.6827,4605.7733,10.9884,290.4881,-0.016906,0
170.6843,4605.7733,10.9884,290.4881,-0.016906,0
170.6843,4605.7733,10.9884,290.4881,-0.016906,0
170.691,4606.3398,11.001,290.449,-0.056965,0
170.6976,4606.3398,11.001,290.449,-0.056965,0
170.6986,4606.3398,11.001,290.449,-0.056965,0
170.6986,4606.3398,11.001,290.449,-0.056965,0
170.6993,4606.9072,11.0135,290.4099,-0.090155,0
170.7,4606.9072,11.0135,290.4099,-0.090155,0
170.7015,4606.9072,11.0135,290.4099,-0.090155,0
170.7044,4606.9072,11.0135,290.4099,-0.090155,0
170.7077,4607.4755,11.026,290.3707,-0.11659,0
170.716,4608.0446,11.0385,290.3315,-0.13638,0
170.7243,4608.6145,11.0511,290.2923,-0.14965,0
170.7327,4609.1853,11.0636,290.2531,-0.15649,0
170.741,4609.757,11.0761,290.2138,-0.15703,0
170.7493,4610.3295,11.0886,290.1745,-0.15136,0
170.7577,4610.9028,11.1011,290.1351,-0.13959,0
170.766,4611.477,11.1135,290.0958,-0.12182,0
170.7743,4612.0521,11.126,290.0564,-0.09815,0
170.7745,4612.0521,11.126,290.0564,-0.09815,0
170.7745,4612.0521,11.126,290.0564,-0.09815,0
170.7782,4612.0521,11.126,290.0564,-0.09815,0
170.7782,4612.0521,11.126,290.0564,-0.09815,0
170.7819,4612.0521,11.126,290.0564,-0.09815,0
170.7827,4612.628,11.1385,290.017,-0.068674,0
170.7856,4612.628,11.1385,290.017,-0.068674,0
170.7856,4612.628,11.1385,290.017,-0.068674,0
170.7891,4612.628,11.1385,290.017,-0.068674,0
170.791,4613.2047,11.1509,289.9775,-0.033487,0
170.7963,4613.2047,11.1509,289.9775,-0.033487,0
170.7993,4613.7823,11.1634,289.9381,0.006471,0
170.8017,4613.7823,11.1634,289.9381,0.006471,0
170.8017,4613.7823,11.1634,289.9381,0.006471,0
170.8077,4614.3608,11.1759,289.8985,0.04557,0
170.8136,4614.3608,11.1759,289.8985,0.04557,0
170.816,4614.94,11.1883,289.859,0.07784,0
170.8243,4615.5201,11.2007,289.8194,0.1034,0
170.8327,4616.1011,11.2132,289.7798,0.12235,0
170.841,4616.6829,11.2256,289.7401,0.13481,0
170.8493,4617.2656,11.238,289.7004,0.14089,0
170.8576,4617.849,11.2504,289.6607,0.14069,0
170.866,4618.4334,11.2628,289.621,0.13433,0
170.8743,4619.0185,11.2752,289.5813,0.12189,0
170.8826,4619.6045,11.2876,289.5415,0.10349,0
170.891,4620.1913,11.3,289.5017,0.079219,0
170.8923,4620.1913,11.3,289.5017,0.079219,0
170.8923,4620.1913,11.3,289.5017,0.079219,0
170.8962,4620.1913,11.3,289.5017,0.079219,0
170.8962,4620.1913,11.3,289.5017,0.079219,0
170.8993,4620.779,11.3123,289.4618,0.04917,0
170.9025,4620.779,11.3123,289.4618,0.04917,0
170.9033,4620.779,11.3123,289.4618,0.04917,0
170.9033,4620.779,11.3123,289.4618,0.04917,0
170.9076,4621.3675,11.3247,289.422,0.013437,0
170.912,4621.3675,11.3247,289.422,0.013437,0
170.916,4621.9568,11.3371,289.3821,-0.026884,0
170.919,4621.9568,11.3371,289.3821,-0.026884,0
170.919,4621.9568,11.3371,289.3821,-0.026884,0
170.9243,4622.547,11.3494,289.3421,-0.065067,0
170.9296,4622.547,11.3494,289.3421,-0.065067,0
170.9326,4623.138,11.3618,289.3021,-0.096461,0
170.941,4623.7298,11.3741,289.2621,-0.12118,0
170.9493,4624.3225,11.3865,289.2221,-0.13933,0
170.9576,4624.9159,11.3988,289.182,-0.15103,0
170.966,4625.5103,11.4111,289.1419,-0.15639,0
170.9743,4626.1054,11.4234,289.1018,-0.1555,0
170.9826,4626.7014,11.4357,289.0617,-0.14848,0
170.991,4627.2982,11.448,289.0215,-0.13542,0
170.9993,4627.8958,11.4603,288.9813,-0.11643,0
171.0076,4628.4942,11.4726,288.9411,-0.09159,0
171.0097,4628.4942,11.4726,288.9411,-0.09159,0
171.0097,4628.4942,11.4726,288.9411,-0.09159,0
171.0136,4628.4942,11.4726,288.9411,-0.09159,0
171.0136,4628.4942,11.4726,288.9411,-0.09159,0
171.016,4629.0935,11.4849,288.9008,-0.061005,0
171.0184,4629.0935,11.4849,288.9008,-0.061005,0
171.0206,4629.0935,11.4849,288.9008,-0.061005,0
171.0206,4629.0935,11.4849,288.9008,-0.061005,0
171.0243,4629.6936,11.4971,288.8606,-0.024764,0
171.028,4629.6936,11.4971,288.8606,-0.024764,0
171.0326,4630.2945,11.5094,288.8202,0.015854,0
171.036,4630.2945,11.5094,288.8202,0.015854,0
171.036,4630.2945,11.5094,288.8202,0.015854,0
171.041,4630.8962,11.5217,288.7799,0.053502,0
171.046,4630.8962,11.5217,288.7799,0.053502,0
171.0493,4631.4987,11.5339,288.7395,0.084395,0
171.0576,4632.1021,11.5462,288.6991,0.10865,0
171.066,4632.7063,11.5584,288.6586,0.12636,0
171.0743,4633.3113,11.5706,288.6181,0.13766,0
171.0826,4633.9171,11.5828,288.5776,0.14264,0
171.091,4634.5237,11.5951,288.5371,0.14141,0
171.0993,4635.1312,11.6073,288.4965,0.13407,0
171.1076,4635.7395,11.6195,288.456,0.12072,0
171.116,4636.3485,11.6317,288.4154,0.10146,0
171.1243,4636.9584,11.6438,288.3747,0.076383,0
171.127,4636.9584,11.6438,288.3747,0.076383,0
171.127,4636.9584,11.6438,288.3747,0.076383,0
171.131,4636.9584,11.6438,288.3747,0.076383,0
171.131,4636.9584,11.6438,288.3747,0.076383,0
171.1326,4637.5691,11.656,288.3341,0.045581,0
171.1343,4637.5691,11.656,288.3341,0.045581,0
171.1376,4637.5691,11.656,288.3341,0.045581,0
171.1378,4637.5691,11.656,288.3341,0.045581,0
171.1378,4637.5691,11.656,288.3341,0.045581,0
171.141,4638.1806,11.6682,288.2934,0.0091468,0
171.1442,4638.1806,11.6682,288.2934,0.0091468,0
171.1493,4638.7929,11.6804,288.2527,-0.031597,0
171.153,4638.7929,11.6804,288.2527,-0.031597,0
171.153,4638.7929,11.6804,288.2527,-0.031597,0
171.1576,4639.4061,11.6925,288.2119,-0.068756,0
171.1623,4639.4061,11.6925,288.2119,-0.068756,0
171.166,4640.02,11.7047,288.1711,-0.099193,0
171.1743,4640.6347,11.7168,288.1303,-0.12302,0
171.1826,4641.2503,11.729,288.0894,-0.14035,0
171.191,4641.8666,11.7411,288.0485,-0.15128,0
171.1993,4642.4838,11.7532,288.0076,-0.15593,0
171.2076,4643.1017,11.7653,287.9667,-0.1544,0
